"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YA994TL1_ST","Employment in all activities (ISIC rev.4, A-U)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,2566.9,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,48.525,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,46.075,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,42.55,"B","Break"
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,40.475,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,38.7,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,44.1,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,37.65,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,38.1,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,41.35,"B","Break"
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,38.8,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,33.05,,
"BEL","Belgium","YA994AL1_ST","Employment in Agriculture,hunting and forestry (ISIC rev4, A)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,30.1,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,48.525,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,46.075,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,42.55,"B","Break"
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,40.475,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,38.7,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,44.1,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,37.65,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,38.1,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,41.35,"B","Break"
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,38.8,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,33.05,,
"BEL","Belgium","YA99A4L1_ST","Agriculture,hunting and forestry (A) ","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,30.1,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,892.1931,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,843.6855,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,844.0389,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,849.1403,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,806.1161,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,804.6407,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,796.338,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,798.168,,
"BEL","Belgium","YA994IL1_ST","Employment in Industry (ISIC rev4, B-F)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,801.525,"E","Estimated value"
"BEL","Belgium","YA99B4L1_ST","Mining and quarrying (B)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,4,"E","Estimated value"
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,545.175,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,498.4,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,488.375,"B","Break"
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,487.8,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,455.875,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,450.975,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,445.35,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,450.75,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,438.925,"B","Break"
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,432.275,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,459.425,,
"BEL","Belgium","YA99C4L1_ST","Manufacturing (C )","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,451.975,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,25.225,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,22.775,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,22.75,"B","Break"
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,22.825,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,19.975,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,20.15,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,19.4,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,17.775,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,19.575,"B","Break"
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,26.2,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,24.925,,
"BEL","Belgium","YA99D4L1_ST","Electricity, gas, steam and air conditioning supply (D)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,19.6,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,21.775,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,25.4,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,31.9,"B","Break"
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,28.975,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,26.425,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,28.475,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,29.35,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,29.925,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,31.8,"B","Break"
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,25.725,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,26.5,,
"BEL","Belgium","YA99E4L1_ST","Water supply, sewerage, waste management and remediation activities (E)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,31.1,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,295.575,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,292.075,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,297.2,"B","Break"
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,305.2,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,298.025,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,301.375,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,298.425,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,296.475,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,307.225,"B","Break"
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,290.275,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,296.175,,
"BEL","Belgium","YA99F4L1_ST","Construction (F)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,309.2,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,1519.957,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,1539.565,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,1571.186,"B","Break"
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1572.335,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,1621.259,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,1601.759,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,1601.312,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1597.232,,
"BEL","Belgium","YA994SL1_ST","Employment in Services (ISIC rev.4, G-U)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,1622.8,"E","Estimated value"
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,292.275,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,297.55,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,319.825,"B","Break"
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,314.275,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,331.45,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,334.125,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,329.375,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,327.425,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,331.6,"B","Break"
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,335.725,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,344.3,,
"BEL","Belgium","YA99G4L1_ST","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,341.05,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,223.125,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,214.675,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,208.725,"B","Break"
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,217.525,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,203.75,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,196.5,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,201.6,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,201.8,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,201.475,"B","Break"
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,208.2,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,203.9,,
"BEL","Belgium","YA99H4L1_ST","Transportation and storage (H)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,214.6,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,73.275,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,76.125,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,75.025,"B","Break"
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,79.175,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,84.325,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,75.525,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,81.775,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,82.4,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,79.825,"B","Break"
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,76.875,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,82.525,,
"BEL","Belgium","YA99I4L1_ST","Accommodation and food service activities (I)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,93.275,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,94.475,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,104.3,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,110.275,"B","Break"
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,101.475,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,112.775,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,104.15,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,107.225,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,105.25,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,106.975,"B","Break"
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,118,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,120.025,,
"BEL","Belgium","YA99J4L1_ST","Information and communication (J)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,123.6,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,90.8,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,81.6,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,87.375,"B","Break"
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,82.725,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,85.8,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,79.6,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,78.85,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,77.525,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,73.075,"B","Break"
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,77.5,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,74.85,,
"BEL","Belgium","YA99K4L1_ST","Financial and insurance activities (K)","MA","Males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,72.85,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,12.675,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10.65,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,12.85,"B","Break"
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,12,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,14.05,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,17,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,16.775,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,17.275,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,15.6,"B","Break"
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,16.9,,
"BEL","Belgium","YA99L4L1_ST","Real estate activities (L)","MA","Males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,18.35,,
